cluster,doc_id
0,"['131', '149', '220', '252']"
1,"['1', '3', '6', '13', '14', '16', '18', '19', '24', '26', '29', '30', '31', '33', '36', '37', '42', '43', '45', '46', '47', '52', '54', '58', '60', '68', '69', '73', '79', '80', '89', '93', '96', '97', '100', '105', '113', '118', '121', '127', '132', '133', '137', '141', '144', '146', '156', '157', '162', '167', '169', '170', '171', '172', '173', '174', '176', '178', '182', '187', '188', '207', '209', '210', '215', '216', '221', '222', '224', '225', '231', '233', '240', '242', '243', '244', '245', '248', '254', '261', '264', '265', '266', '269', '271', '273', '274', '276', '277', '279', '284', '285', '291', '294', '295', '300', '302', '306', '310', '317', '321', '324', '332', '333', '336', '339', '343', '353', '356', '357', '359', '364', '368', '369', '370', '378', '381', '383', '388', '389', '390', '391']"
2,"['2', '8', '10', '12', '15', '23', '32', '34', '41', '48', '51', '62', '63', '64', '65', '70', '76', '81', '86', '99', '101', '103', '110', '111', '119', '123', '126', '136', '140', '148', '151', '152', '153', '161', '163', '165', '166', '168', '175', '180', '184', '185', '186', '190', '193', '202', '205', '213', '219', '232', '236', '237', '239', '246', '249', '251', '255', '259', '260', '267', '275', '281', '283', '299', '307', '311', '315', '319', '327', '328', '329', '330', '344', '348', '351', '358', '360', '365', '366', '367', '372', '373', '376', '382', '387', '393']"
3,"['11', '20', '21', '28', '38', '40', '53', '77', '83', '85', '88', '91', '95', '106', '117', '124', '128', '129', '134', '138', '143', '145', '150', '155', '159', '183', '189', '191', '192', '194', '208', '212', '217', '247', '258', '263', '304', '337', '338', '340', '345', '354', '355', '375', '385']"
4,"['5', '25', '35', '44', '50', '59', '66', '75', '78', '107', '115', '116', '122', '139', '147', '160', '181', '195', '196', '201', '218', '226', '229', '230', '234', '262', '268', '270', '278', '293', '296', '301', '303', '314', '318', '320', '322', '323', '325', '326', '331', '346', '347', '361', '362', '363', '374', '380', '386', '397']"
5,"['7', '9', '17', '22', '39', '55', '56', '57', '61', '71', '72', '74', '82', '84', '90', '94', '98', '102', '108', '112', '114', '120', '130', '154', '158', '164', '177', '198', '199', '200', '203', '204', '206', '214', '223', '227', '257', '272', '280', '286', '287', '288', '289', '290', '292', '297', '298', '305', '308', '312', '334', '341', '342', '350', '377', '384', '392', '394', '395', '396']"
6,"['4', '27', '49', '67', '87', '92', '104', '109', '125', '135', '142', '179', '197', '211', '228', '235', '238', '241', '250', '253', '256', '282', '309', '313', '316', '335', '349', '352', '371', '379']"
